"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"380";"G18-M40";"date 2";"2";4;"24";59,3649361898256
"381";"G18-M40";"date 2";"1";0;"24";62,6087973164237
"382";"G18-M40";"date 2";"4";21;"24";52,2917542208057
"383";"G18-M40";"date 2";"5B";28;"24";56,3764019896715
"384";"G18-M40";"date 2";"7A";45;"24";52,8600696083171
"385";"G18-M40";"date 3";"7B";45;"38";51,8399225495092
"386";"G18-M40";"date 3";"6B";35;"38";54,7073411535476
"387";"G18-M40";"date 3";"5A";28;"38";56,6973037093916
"388";"G18-M40";"date 3";"8B";56;"38";48,271504582225
"389";"G18-M40";"date 3";"3";14;"38";56,5463704710781
"390";"G18-M40";"date 3";"6A";35;"38";57,7147128033115
"391";"G18-M40";"date 3";"8A";56;"38";52,191224220214
"392";"G18-M40";"date 3";"2";4;"38";60,4543336340124
"393";"G18-M40";"date 3";"1";0;"38";60,7237418003287
"394";"G18-M40";"date 3";"4";21;"38";53,6147306741608
"395";"G18-M40";"date 3";"5B";28;"38";53,7848917537108
"396";"G18-M40";"date 3";"7A";45;"38";53,1205997082949
"397";"F64";"date 1";"7B";45;"6";50,329120336626
"398";"F64";"date 1";"6B";35;"6";51,1546829505795
"399";"F64";"date 1";"5A";28;"6";49,503127609389
"400";"F64";"date 1";"8B";56;"6";47,7153008247009
"401";"F64";"date 1";"3";14;"6";52,2650370401152
"402";"F64";"date 1";"6A";35;"6";49,5604070867557
"403";"F64";"date 1";"8A";56;"6";46,2769685299732
"404";"F64";"date 1";"2";4;"6";57,134277312997
"405";"F64";"date 1";"1";0;"6";57,7861846941677
"406";"F64";"date 1";"4";21;"6";50,4597343524199
"407";"F64";"date 1";"5B";28;"6";49,4656278459136
"408";"F64";"date 1";"7A";45;"6";53,7432517740101
"409";"F64";"date 2";"7B";45;"20";57,619436179944
"410";"F64";"date 2";"6B";35;"20";59,3933294599768
"411";"F64";"date 2";"5A";28;"20";57,7334749141346
"412";"F64";"date 2";"8B";56;"20";48,4761153720823
"413";"F64";"date 2";"3";14;"20";62,505418122655
"414";"F64";"date 2";"6A";35;"20";58,1788718990941
"415";"F64";"date 2";"8A";56;"20";49,2169464353284
"416";"F64";"date 2";"2";4;"20";58,2170679867994
"417";"F64";"date 2";"1";0;"20";59,9246472835804
"418";"F64";"date 2";"4";21;"20";58,3746386996181
"419";"F64";"date 2";"5B";28;"20";56,3791607963419
"420";"F64";"date 2";"7A";45;"20";55,9296604146702
"421";"F64";"date 3";"7B";45;"34";56,1196626791615
"422";"F64";"date 3";"6B";35;"34";55,7647225834724
"423";"F64";"date 3";"5A";28;"34";56,2919237165098
"424";"F64";"date 3";"8B";56;"34";48,4586478723228
"425";"F64";"date 3";"3";14;"34";55,0287332441214
"426";"F64";"date 3";"6A";35;"34";55,0527113831365
"427";"F64";"date 3";"8A";56;"34";51,7506781238226
"428";"F64";"date 3";"2";4;"34";62,2100210664868
"429";"F64";"date 3";"1";0;"34";65,1836758977408
"430";"F64";"date 3";"4";21;"34";53,731684431051
"431";"F64";"date 3";"5B";28;"34";54,9393913042734
"432";"F64";"date 3";"7A";45;"34";57,3416215589324
"433";"B73";"date 1";"7B";45;"1";50,5816709036093
"434";"B73";"date 1";"6B";35;"1";53,1068384209973
"435";"B73";"date 1";"5A";28;"1";53,661100264708
"436";"B73";"date 1";"8B";56;"1";52,7832695735875
"437";"B73";"date 1";"3";14;"1";52,0089446790872
"438";"B73";"date 1";"6A";35;"1";51,8337919778198
"439";"B73";"date 1";"8A";56;"1";52,2871134495941
"440";"B73";"date 1";"2";4;"1";59,0032940094153
"441";"B73";"date 1";"1";0;"1";58,6590100407769
"442";"B73";"date 1";"4";21;"1";50,5894120151234
"443";"B73";"date 1";"5B";28;"1";57,0143944075534
"444";"B73";"date 1";"7A";45;"1";51,1450679693165
"445";"B73";"date 2";"7B";45;"15";52,933978895457
"446";"B73";"date 2";"6B";35;"15";53,9725166524352
"447";"B73";"date 2";"5A";28;"15";56,8210668179152
"448";"B73";"date 2";"8B";56;"15";48,974333411048
"449";"B73";"date 2";"3";14;"15";58,0259522695079
"450";"B73";"date 2";"6A";35;"15";56,3609132941649
"451";"B73";"date 2";"8A";56;"15";47,8174847512091
"452";"B73";"date 2";"2";4;"15";61,8944633603971
"453";"B73";"date 2";"1";0;"15";62,4320378320446
"454";"B73";"date 2";"4";21;"15";58,2886961120364
"455";"B73";"date 2";"5B";28;"15";56,1319519714985
"456";"B73";"date 2";"7A";45;"15";52,5613996023974
"457";"B73";"date 3";"7B";45;"29";55,5410435638782
"458";"B73";"date 3";"6B";35;"29";58,7543940906221
"459";"B73";"date 3";"5A";28;"29";55,2878011158903
"460";"B73";"date 3";"8B";56;"29";51,7614009372677
"461";"B73";"date 3";"3";14;"29";59,4336027609015
"462";"B73";"date 3";"6A";35;"29";55,7896061880965
"463";"B73";"date 3";"8A";56;"29";51,1452930540983
"464";"B73";"date 3";"2";4;"29";63,3092428138632
"465";"B73";"date 3";"1";0;"29";67,6390739959907
"466";"B73";"date 3";"4";21;"29";56,8137469053589
